party,region,name,twitter,uri
British National Party,West Midlands,Phil Kimberley,
British National Party,North West England,Nick Griffin,nickgriffinmep,http://dbpedia.org/resource/Nick_Griffin
British National Party,North West England,Dawn Charlton,
British National Party,North West England,Clive Jefferson,
British National Party,North West England,Eddy O'Sullivan,
British National Party,North West England,Simon Darby,,http://dbpedia.org/resource/Simon_Darby
British National Party,North West England,Kay Pollitt,
British National Party,North West England,Derek Adams,
British National Party,North West England,David O'Loughlin,
British National Party,East of England,Richard Perry,
British National Party,East of England,Christopher Livingstone,
British National Party,East of England,Mark Burmby,
British National Party,East of England,Paul Hooks,
British National Party,East of England,Stephen Smith,
British National Party,East of England,Philip Howell,
British National Party,East of England,Michael Braun,
British National Party,Scotland,Kenneth McDonald,
British National Party,Scotland,David Orr,
British National Party,Scotland,Victoria McKenzie,
British National Party,Scotland,Angus Matthys,
British National Party,Scotland,Paul Stafford,
British National Party,Scotland,Stacey Fleming,
British National Party,East Midlands,Cathy Duffy,
British National Party,East Midlands,Robert West,
British National Party,East Midlands,Bob Brindley,
British National Party,East Midlands,Geoffrey Dickens,
British National Party,East Midlands,Paul Hilliard,
British National Party,South East England,John Robinson,
British National Party,South East England,Gavin Miller,
British National Party,South East England,Eric Elliott,
British National Party,South East England,John Moore,
British National Party,South East England,Alwyn Deacon,
British National Party,South East England,Anthony Bamber,
British National Party,South East England,Brenda Waterhouse,
British National Party,South East England,Mark Jones,
British National Party,South East England,Jack Renshaw,
British National Party,South East England,Yvonne Deacon,
British National Party,London,Stephen Squire,
British National Party,London,Donna Treanor,
British National Party,London,Paul Sturdy,
British National Party,London,John Clarke,
British National Party,London,David Furness,
British National Party,London,Cliff Le May,
British National Party,London,Ray Underwood,
British National Party,London,Kevin Lazell,
British National Party,Wales,Mike Whitby,
British National Party,Wales,Laurence Dalriada,
British National Party,Wales,Jean Griffin,
British National Party,Wales,Gary Tumulty,
British National Party,South West England,Adrian Romilly,
British National Party,South West England,Cliff Jones,
British National Party,South West England,Arnold Brindle,
British National Party,South West England,Wayne Peter Tomlinson,
British National Party,South West England,Andrew Webster,
British National Party,South West England,Giuseppe De Santis,
Yorkshire First,Yorkshire and the Humber,Stewart Arnold,
Yorkshire First,Yorkshire and the Humber,Richard Carter,
Yorkshire First,Yorkshire and the Humber,Richard Honnoraty,
Liberty GB,South East England,Paul Weston,paulwestonlibgb
Liberty GB,South East England,Enza Ferreri,EnzaFerreri
Liberty GB,South East England,Jack Buckby,jackbuckby
Conservative Party,North East England,Martin Callanan,,http://dbpedia.org/resource/Martin_Callanan
Conservative Party,North East England,Ben Houchen,BenHouchen
Conservative Party,North East England,Andrew Lee,
Conservative Party,Yorkshire and the Humber,Timothy Kirkhope,TimKirkhopeMEP,http://dbpedia.org/resource/Timothy_Kirkhope
Conservative Party,Yorkshire and the Humber,Alex Story,
Conservative Party,Yorkshire and the Humber,John Procter,
Conservative Party,Yorkshire and the Humber,Carolyn Abbott,CarolynAbbottRe
Conservative Party,Yorkshire and the Humber,Michael Naughton,
Conservative Party,Yorkshire and the Humber,Ryan Stephenson,
Conservative Party,East of England,Vicky Ford,vickyford
Conservative Party,East of England,Geoffrey van Orden,,http://dbpedia.org/resource/Geoffrey_Van_Orden
Conservative Party,East of England,David Campbell Bannerman,DCBMEP,http://dbpedia.org/resource/David_Campbell_Bannerman
Conservative Party,East of England,John Flack,GiveEuropeFlack
Conservative Party,East of England,Tom Hunt,cllrtomhunt1
Conservative Party,East of England,Margaret Simons,Margaret_Simons
Conservative Party,East of England,Jonathan Collett,JonCollett
Conservative Party,North West England,Jacqueline Foster,jfostermep
Conservative Party,North West England,Sajjad Karim,SHKMEP,http://dbpedia.org/resource/Sajjad_Karim
Conservative Party,North West England,Kevin Beaty,kevcow
Conservative Party,North West England,Deborah Dunleavy,
Conservative Party,North West England,Joe Barker-Willis,JMVBarker
Conservative Party,North West England,Daniel Hamilton,danielrhamilton
Conservative Party,North West England,Chris Whiteside,ChrisWhiteside3
Conservative Party,North West England,James Walsh,
Conservative Party,West Midlands,Philip Bradbourn,
Conservative Party,West Midlands,Anthea McIntyre,anthea_mcintyre,http://dbpedia.org/resource/Anthea_McIntyre
Conservative Party,West Midlands,Daniel Dalton,
Conservative Party,West Midlands,Michael Burnett,
Conservative Party,West Midlands,Sibby Buckle,sibbuc
Conservative Party,West Midlands,Dan Sames,DanSames
Conservative Party,West Midlands,Avern Alex,
Conservative Party,Scotland,Ian Duncan,IanDuncan2014
Conservative Party,Scotland,Belinda Don,
Conservative Party,Scotland,Nosheena Mobarik,
Conservative Party,Scotland,Jamie Gardiner,
Conservative Party,Scotland,Iain McGill,IainMcGill
Conservative Party,Scotland,Stuart McIntyre,stuartgmcintyre
Conservative Party,East Midlands,Emma McClarkin,EmmaMcClarkin,http://dbpedia.org/resource/Emma_McClarkin
Conservative Party,East Midlands,Andrew Lewer,
Conservative Party,East Midlands,Rupert Matthews,RupertMatthews
Conservative Party,East Midlands,Stephen Castens,
Conservative Party,East Midlands,Brendan Clarke-Smith,
Conservative Party,London,Syed Kamall,SyedKamall,http://dbpedia.org/resource/Syed_Kamall
Conservative Party,London,Charles Tannock,CharlesTannock,http://dbpedia.org/resource/Charles_Tannock
